index,item
71,You done super😀🎂☮️
72,"You have explained a subject that I had difficulty in establishing a connection, very well, thanks to you."
73,"Subscribed man, you are AWESOME!!"
74,Can i use python for creating extension
75,"For us who learn every lecture on you YouTube, there is now an extension that skips to the start of the video content <a href=""https://chrome.google.com/webstore/detail/next/aclkmblkmoldkfnigilodenpofmenoag"">https://chrome.google.com/webstore/detail/next/aclkmblkmoldkfnigilodenpofmenoag</a>"
76,"Hello , can anyone help me please !!<br>i have python file lets say <a href=""http://1.py/"">1.py</a> i want to run this file i click on browser extention button<br>so how can i do this ??"
77,"Hello, i want to ask something. I build a Chrome Extension that need to access library from node modules. And i tried to call the library with &#39;require&#39;. Of course there is error message says &quot;Uncaught ReferenceError: require is not defined&quot;. So, is there another way to call all the functions on the library from node modules to my script? Thanks."
78,"Can you show if I clicked extension again, it can undo the color??"
79,"<a href=""https://www.youtube.com/watch?v=ew9ut7ixIlI&amp;t=14m15s"">14:15</a> nice summary! thanks Dan!"
80,Thumbs down is not sufficient in a video of this nature you need to alegate.
81,You&#39;re fucking amazing dude. I can now finally delete all distractions when browsing the web. Chrome extensions are so easy to code yet insanely powerful
82,"Great job and dynamic explanation. Anyway, as you said you just scratch over the surface of this. Im trying to find the way to get info from the API in my website but is really tricky. In my browser action there is Popup.html with a button that calls a content.js witch tries to get data from web API. This communication is not like the background does, I mean, is directly loading in de actual website. The point is, how can I get info, for example an Array like the API provides and manage it to do things. Thanks."
83,"For people running into this problem, the chrome.browserAction object is only created (in the background page) for extensions with a browser_action (doesn&#39;t even need default_icon) defined in the manifest."
84,Fantastic! I am a noob and this helped a lot. Thank you
85,"Hi,  you are great teacher not just because you are sharing your knowledge but also because you look very happy about what you are doing. Thanks for inspiring us."
86,Best Youtuber ever!
87,I wish you are my college lecturer. I definitely will come into your class every single day! what a great teacher you are..
88,"Thanks a lot for this tutorial. <br>I had a doubt though:<br>If I want to continuously record the history and the tabs opened in chrome, how do i define all that in my background.js file.?"
89,"Hi All ,  9 -2019 Update! [ I Think :D ]<br>Just realized that<br> chrome.browserAction.onClicked.addListener(callback) has been replaced with chrome.runtime.onInstalled.addListener(callback)"
90,"Hey Hello,<br>Thank you your wonderful videos. Could you please help me the make a video for image scammer multiple image URL open with google chrome extension."
91,wheeeere do you learn all these cool stuff you have on the channel ?
92,That was really helpful. Thanks .
93,Excellent and funny to teaching tanx
94,I love you Coding Train
95,"Hi Sir, Could you pls help me with how can we close the current tab on the button click using chrome.tabs.remove"
96,You are so lovely i love u
97,Which compiler you use? where do you program the extension?
98,15: 15 &quot;I did not trigger that sound effect&quot; - Top 10 lies science still can&#39;t figure out .
99,How to make the background script call the content script every time the users does an action on the page? I want to record all the user&#39;s actions in order to later on display all the actions to the user.
